gene_id,p22074-s001,p22074-s002,p22074-s003,p22074-s004,p22074-s005,p22074-s006,p22074-s007,p22074-s008,p22074-s009,p22074-s010,p22074-s011,p22074-s012
X5430425K12Rik,1,0,0,0,0,3,0,0,0,0,1,0
Gm4211,0,0,0,1,0,0,0,2,0,0,0,0
X9330111N05Rik,4,0,2,0,0,1,0,0,0,1,0,0
Gm49375,1,0,0,0,0,0,2,0,0,0,0,0
Gm48568,0,0,0,0,0,0,0,0,0,0,0,0
Gm48549,0,0,0,0,0,0,0,0,0,0,0,0
Gm4813,0,0,0,0,0,0,0,0,0,0,0,0
Gm8399,12,15,24,96,6,35,12,9,13,22,30,16
Gm25241,0,0,0,0,0,0,0,0,0,0,0,0
Gm18517,0,0,0,0,0,0,1,0,0,0,0,0
Adgrv1,48,72,55,36,8,33,160,102,115,137,90,127
Gm48566,0,0,0,0,0,0,0,0,0,0,0,0
Gm48567,0,0,0,0,0,0,0,0,0,0,0,0
Lysmd3,2015,2137,1934,2542,377,1839,2821,2646,2120,2485,2325,1937
Polr3g,528,604,503,891,135,737,675,717,604,633,745,554
Mblac2,151,213,176,195,40,206,282,262,231,289,263,172
Gm48113,0,0,0,0,0,0,0,0,0,1,1,0
Gm17259,8,9,18,15,0,3,12,18,15,11,14,6
Cetn3,601,726,633,627,83,603,655,788,512,728,817,594
F830210D05Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm24295,0,0,0,0,0,0,0,0,0,0,0,0
Gm48155,0,0,0,0,0,0,0,0,0,0,0,0
Gm4936,0,0,0,1,0,0,0,0,0,0,0,0
Mir3961,0,0,0,0,0,0,0,0,0,0,0,0
X2310067P03Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm48156,0,0,0,0,0,0,0,0,0,0,0,0
Mef2c,0,0,0,0,0,0,2,1,8,2,8,4
Gm48067,3,0,4,8,0,4,7,1,0,2,1,0
C130071C03Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm26803,0,0,0,0,0,0,0,0,0,0,0,0
Gm33366,0,0,0,0,0,0,0,0,0,0,0,0
Mir9.2,0,0,0,0,0,0,0,0,0,0,0,0
Gm6411,0,0,0,0,0,1,2,0,0,0,0,0
Gm5452,70,47,121,271,8,113,61,43,24,72,52,40
X2810049E08Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm4241,0,0,0,0,0,0,0,0,0,0,0,0
Gm8447,0,0,0,0,0,0,0,0,0,0,0,0
Gm17750,0,0,0,0,0,0,0,0,0,0,0,0
Gm8456,0,0,0,0,0,0,0,0,0,0,0,0
Gm24331,0,0,0,0,0,0,0,0,0,0,0,0
A230107N01Rik,9,3,5,10,2,1,6,4,4,4,6,16
Tmem161b,354,383,340,455,80,454,396,379,403,488,493,345
Gm49223,2,2,3,3,0,1,4,2,9,1,1,4
Gm46432,6,8,4,3,3,0,6,3,7,8,11,6
Gm26927,0,0,0,0,0,0,0,0,0,0,0,0
Gm26913,0,0,0,0,0,0,0,0,0,0,0,0
Gm4059,0,0,0,0,0,0,0,0,0,0,0,0
Gm4066,0,0,0,1,0,1,0,0,0,0,0,0
Gm47745,0,0,0,0,0,0,0,0,0,0,0,0
Gm4076,11,7,28,20,2,23,9,10,0,7,10,9
Gm47746,0,0,0,0,0,0,0,0,0,0,0,0
Ccnh,612,689,659,535,89,507,749,792,565,717,827,598
Rasa1,1326,1527,1272,1469,221,1280,1561,1721,1393,1689,1620,1334
Gm37641,0,0,0,0,0,0,0,0,0,0,0,0
Gm47635,0,0,0,0,0,0,0,0,0,0,0,0
Gm5666,0,0,0,0,0,0,0,0,0,0,0,0
Gm47636,0,0,0,0,0,0,0,0,0,0,0,0
Gm46396,0,0,0,0,0,0,0,0,0,0,0,0
Cox7c,2373,2128,2709,2364,334,2467,2295,2230,1055,1830,1533,1348
Gm22574,1,0,1,1,0,2,1,1,1,2,0,4
Gm27025,0,0,0,0,0,0,0,0,0,0,0,0
Gm25700,0,0,0,0,0,0,0,0,0,0,0,0
Gm47642,0,0,0,0,0,0,0,0,0,0,0,0
Gm18265,0,0,0,0,0,0,0,0,0,0,0,0
Gm24935,0,0,0,0,0,0,0,0,0,0,0,0
Gm21232,0,0,0,0,0,0,0,0,0,0,0,0
Gm19239,0,0,0,0,0,0,0,0,0,0,0,0
Gm47649,0,0,0,0,0,0,0,0,0,0,0,0
Gm27044,0,0,0,0,0,0,0,0,0,0,0,0
Gm47651,0,0,0,0,0,0,0,0,0,0,0,0
Gm8526,0,0,0,1,0,0,0,1,0,0,0,0
Gm47653,0,0,0,0,0,0,0,0,0,0,0,0
Gm19139,0,0,0,0,0,0,0,0,0,0,0,0
Gm34585,0,0,0,0,0,0,0,0,0,0,0,0
Gm5667,0,0,0,0,0,0,0,0,0,0,0,0
Edil3,0,0,0,0,0,0,0,0,0,1,0,0
Hapln1,2,7,10,1,0,0,12,18,4,9,7,7
Gm8546,0,2,3,10,0,2,2,4,4,6,3,1
Vcan,7,8,8,4,0,5,13,14,9,12,2,8
Gm16318,0,0,0,0,0,0,0,0,0,0,0,0
Gm4117,36,61,60,42,3,39,53,74,29,63,69,57
Xrcc4,179,173,196,120,8,141,157,155,174,235,203,133
Gm24498,0,1,0,0,0,0,0,0,0,0,0,0
Tmem167,2826,2797,3187,2519,321,2552,2789,2924,2090,2920,2838,2255
Gm24507,1,0,0,0,0,0,0,0,0,1,0,0
Gm37727,0,0,0,0,0,0,0,0,0,0,0,0
Gm29680,0,0,0,0,0,0,0,0,0,0,0,0
Gm37054,0,0,0,0,0,0,0,0,0,0,0,0
Gm47520,0,0,1,0,0,0,0,0,0,0,0,0
Gm37708,0,0,0,0,0,0,0,0,0,0,0,0
Gm21726,0,0,0,0,0,0,0,0,0,0,0,0
Gm36966,0,0,0,0,0,0,0,0,0,0,0,0
Gm44338,0,0,0,0,0,0,0,0,0,0,0,0
Gm47521,0,0,0,0,0,0,0,0,0,0,0,0
Gm18518,0,0,0,0,0,0,0,0,0,0,0,0
Atp6ap1l,6,2,1,0,1,2,0,0,0,1,0,0
Rps23,3556,3268,3939,3995,558,4016,3305,3247,2188,2891,3168,2144
Atg10,103,144,127,83,21,124,137,123,94,131,143,100
Gm17450,0,0,1,0,0,1,0,5,0,0,5,0
Gm47381,0,0,0,0,0,1,1,0,0,0,0,1
Gm4130,12,12,27,50,4,21,26,16,15,32,26,15
A830009L08Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm29540,0,0,0,0,0,0,0,0,0,0,0,0
Ssbp2,151,170,185,246,37,172,133,151,117,169,186,156
X4833422C13Rik,58,59,64,84,19,77,114,101,49,75,87,68
Gm22778,0,0,2,0,0,0,1,0,0,0,0,0
Acot12,4896,5163,4871,4813,755,4357,4196,4573,4015,4873,5218,3684
Gm24597,4,3,1,9,0,1,0,0,1,5,6,1
Gm27656,0,0,0,0,0,0,0,0,0,0,0,0
Zcchc9,823,914,987,955,106,991,973,1068,908,1216,1214,839
Ckmt2,0,0,0,0,0,0,0,0,0,0,0,0
X1700119I11Rik,0,0,0,0,0,0,0,0,0,0,0,0
Rasgrf2,0,1,0,3,0,0,0,0,2,1,2,0
Msh3,425,472,405,473,82,356,517,478,410,510,582,349
Gm20379,0,0,1,1,0,0,0,0,2,0,2,0
Dhfr,276,330,314,365,57,285,380,328,281,402,343,289
C030017D09Rik,0,0,0,0,0,0,0,0,0,0,0,0
Ankrd34b,0,0,0,1,0,0,2,0,1,0,0,0
Fam151b,46,51,32,41,6,59,36,50,26,50,44,32
Zfyve16,922,1141,868,1480,238,1185,1541,1833,1266,1508,1522,1067
Spz1,0,0,0,0,0,0,0,0,0,0,0,0
Serinc5,1877,1977,1630,2467,349,1978,2574,2730,2194,2820,2647,1863
Gm5199,0,0,0,0,0,0,0,0,0,0,0,0
Thbs4,0,0,0,0,0,0,0,0,0,0,0,0
Mtx3,7,11,24,33,6,14,33,44,24,38,28,16
Gm31630,0,0,0,0,0,0,0,0,0,0,0,1
Cmya5,0,0,1,2,0,1,0,0,0,0,0,0
Gm4814,0,0,0,0,0,0,0,0,0,0,0,0
A630019I02Rik,0,0,0,0,0,0,0,0,0,0,0,0
